,ILI_Cases,Avg_Temp
2016-07-24,6,68.0
2016-07-31,3,70.14285714285714
2016-08-07,3,65.5
2016-08-14,4,70.07142857142857
2016-08-21,5,72.07142857142857
2016-08-28,2,69.14285714285714
2016-09-04,4,62.57142857142857
2016-09-11,6,61.785714285714285
2016-09-18,7,63.0
2016-09-25,7,60.0
2016-10-02,18,58.714285714285715
2016-10-09,15,56.42857142857143
2016-10-16,20,54.142857142857146
2016-10-23,23,53.642857142857146
2016-10-30,19,54.857142857142854
2016-11-06,21,54.0
2016-11-13,28,55.5
2016-11-20,21,49.57142857142857
2016-11-27,30,46.857142857142854
2016-12-04,23,44.714285714285715
2016-12-11,58,36.0
2016-12-18,73,33.42857142857143
2016-12-25,91,39.42857142857143
2017-01-01,97,38.785714285714285
2017-01-08,113,31.0
2017-01-15,186,34.07142857142857
2017-01-22,130,44.285714285714285
2017-01-29,101,42.0
2017-02-05,47,38.714285714285715
2017-02-12,41,40.214285714285715
2017-02-19,34,46.857142857142854
2017-02-26,35,40.142857142857146
2017-03-05,20,41.5
2017-03-12,26,43.57142857142857
2017-03-19,22,47.07142857142857
2017-03-26,32,48.214285714285715
2017-04-02,16,48.642857142857146
2017-04-09,16,49.92857142857143
2017-04-16,15,49.285714285714285
2017-04-23,16,52.857142857142854
2017-04-30,12,50.857142857142854
2017-05-07,14,55.142857142857146
2017-05-14,15,54.285714285714285
2017-05-21,9,56.285714285714285
2017-05-28,13,65.07142857142857
2017-06-04,3,60.57142857142857
2017-06-11,9,61.642857142857146
2017-06-18,4,58.857142857142854
2017-06-25,5,68.0
2017-07-02,4,64.64285714285714
2017-07-09,3,67.21428571428571
2017-07-16,5,65.57142857142857
2017-07-23,4,68.14285714285714
2017-07-30,10,68.42857142857143
2017-08-06,4,74.78571428571429
2017-08-13,4,70.92857142857143
2017-08-20,8,66.21428571428571
2017-08-27,13,69.0
2017-09-03,16,72.64285714285714
2017-09-10,16,69.28571428571429
2017-09-17,19,63.57142857142857
2017-09-24,14,57.857142857142854
2017-10-01,12,62.42857142857143
2017-10-08,28,55.714285714285715
2017-10-15,44,50.0
2017-10-22,17,52.857142857142854
2017-10-29,49,54.42857142857143
2017-11-05,55,44.5
2017-11-12,43,46.57142857142857
2017-11-19,56,46.92857142857143
2017-11-26,70,50.857142857142854
2017-12-03,20,44.0
2017-12-10,25,39.92857142857143
2017-12-17,39,41.285714285714285
2017-12-24,257,38.5
2018-01-07,267,42.07142857142857
2018-01-14,352,47.214285714285715
2018-01-21,286,47.07142857142857
2018-01-28,345,43.92857142857143
2018-02-04,247,46.785714285714285
2018-02-11,210,45.0
2018-02-18,181,40.142857142857146
2018-02-25,176,33.92857142857143
2018-03-04,123,41.714285714285715
2018-03-11,93,45.714285714285715
2018-03-18,114,49.285714285714285
2018-03-25,113,44.214285714285715
2018-04-01,86,48.142857142857146
2018-04-08,79,49.285714285714285
2018-04-15,50,49.142857142857146
2018-04-22,47,49.785714285714285
2018-04-29,21,57.92857142857143
2018-05-06,23,58.142857142857146
2018-05-13,25,61.285714285714285
2018-05-20,21,62.642857142857146
2018-05-27,11,62.92857142857143
2018-06-03,1,59.357142857142854
2018-06-10,1,58.785714285714285
2018-06-17,13,62.714285714285715
2018-06-24,14,67.85714285714286
2018-07-01,19,62.214285714285715
2018-07-08,12,67.28571428571429
2018-07-15,8,71.5
2018-07-22,9,69.28571428571429
2018-07-29,11,75.07142857142857
2018-08-05,5,69.42857142857143
2018-08-12,8,72.78571428571429
2018-08-19,5,68.92857142857143
2018-08-26,8,66.85714285714286
2018-09-02,7,65.92857142857143
2018-09-09,12,66.85714285714286
2018-09-16,17,60.714285714285715
2018-09-23,20,59.857142857142854
2018-09-30,11,61.214285714285715
2018-10-07,24,53.57142857142857
2018-10-14,37,55.42857142857143
2018-10-21,21,54.5
2018-10-28,30,52.714285714285715
2018-11-04,27,54.5
